Data below is obtained from FASTA file:  "/Users/Mana/Dropbox/ResCons/Demo files/7_Description_ID Extractor/Sequences_demo.fasta"
Total number of sequences present in FASTA file:  677
Number of unique Identifiers present among them:  677

### Following are the unique Identifiers extracted: ###

Identifier, Count
YP_400400|Bacteria|Cyanobacteria|Oscillatoriophycideae|Synechococcus|,1
WP_017805069|Bacteria|Proteobacteria|Gammaproteobacteria|Avibacterium|,1
WP_017769100|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_017723460|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_017695792|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_017675534|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_017646328|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_017554410|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_017551344|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_017530085|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_017464993|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_017454363|Bacteria|Proteobacteria|Betaproteobacteria|Herbaspirillum|,1
WP_017450147|Bacteria|Proteobacteria|Betaproteobacteria|Herbaspirillum|,1
WP_017420342|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrio|,1
WP_017403761|Bacteria|Proteobacteria|Alphaproteobacteria|Brucella|,1
WP_017368826|Bacteria|Firmicutes|Bacilli|Lactococcus|,1
WP_017365968|Bacteria|Proteobacteria|Gammaproteobacteria|Methylococcus|,1
WP_017365832|Bacteria|Proteobacteria|Gammaproteobacteria|Methylococcus|,1
WP_017362007|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_017361769|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_017353996|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_017337061|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_017250242|Bacteria|Firmicutes|Bacilli|Brevibacillus|,1
WP_017211352|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_017209936|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_017175256|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_016944427|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_016931031|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_016919059|Bacteria|Proteobacteria|Alphaproteobacteria|Methylocystis|,1
WP_016897108|Bacteria|Firmicutes|Bacilli|Aerococcus|,1
WP_016779241|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_016769477|Bacteria|Proteobacteria|Alphaproteobacteria|Brucella|,1
WP_016742529|Bacteria|Firmicutes|Bacilli|Brevibacillus|,1
WP_016734172|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
WP_016717706|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_016569372|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_016527454|Bacteria|Proteobacteria|Gammaproteobacteria|Haemophilus|,1
WP_016511654|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_016504506|Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurella|,1
WP_016503021|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_016497835|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_016484715|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_016398577|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_016397428|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_016396690|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_016386954|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_016386581|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_016385938|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_016384304|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_016265125|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_016210172|Bacteria|Proteobacteria|Gammaproteobacteria|Piscirickettsia|,1
WP_016198121|Bacteria|Bacteroidetes|Flavobacteriia|Elizabethkingia|,1
WP_015922690|Bacteria|Chloroflexi|Thermomicrobiales|Thermomicrobium|,1
WP_015900736|Bacteria|Firmicutes|Bacilli|Staphylococcus|,1
WP_015892198|Bacteria|Firmicutes|Bacilli|Brevibacillus|,1
WP_015852120|Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrio|,1
WP_015841559|Bacteria|Proteobacteria|Gammaproteobacteria|Pectobacterium|,1
WP_015841519|Bacteria|Proteobacteria|Gammaproteobacteria|Pectobacterium|,1
WP_015816573|Bacteria|Proteobacteria|Alphaproteobacteria|Neorickettsia|,1
WP_015809866|Bacteria|Bacteroidetes|Sphingobacteriia|Pedobacter|,1
WP_015787848|Bacteria|Actinobacteria|Actinobacteridae|Saccharomonospora|,1
WP_015787840|Bacteria|Actinobacteria|Actinobacteridae|Saccharomonospora|,1
WP_015782909|Bacteria|Bacteroidetes|Flavobacteriia|Capnocytophaga|,1
WP_015780373|Bacteria|Actinobacteria|Actinobacteridae|Kytococcus|,1
WP_015692640|Bacteria|Bacteroidetes|Sphingobacteriia|Saprospira|,1
WP_015570764|Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacter|,1
WP_015565084|Bacteria|Firmicutes|Clostridia|Faecalibacterium|,1
WP_015563819|Bacteria|Firmicutes|Clostridia|Faecalibacterium|,1
WP_015558985|Bacteria|Firmicutes|Clostridia|Ruminococcus|,1
WP_015550870|Bacteria|Firmicutes|Clostridia|Butyrivibrio|,1
WP_015549491|Bacteria|Firmicutes|Clostridia|Butyrivibrio|,1
WP_015548801|Bacteria|Firmicutes|Clostridia|Butyrivibrio|,1
WP_015537065|Bacteria|Firmicutes|Clostridia|Faecalibacterium|,1
WP_015532152|Bacteria|Bacteroidetes|Bacteroidia|Bacteroides|,1
WP_015524078|Bacteria|Firmicutes|Clostridia|Ruminococcus|,1
WP_015516153|Bacteria|Firmicutes|Clostridia|Eubacterium|,1
WP_015453478|Bacteria|Proteobacteria|Epsilonproteobacteria|Helicobacter|,1
WP_015438357|Bacteria|Actinobacteria|Actinobacteridae|Bifidobacterium|,1
WP_015418626|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_015385181|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_015380375|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_015368588|Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacter|,1
WP_015359374|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_015358692|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_015250802|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_015213675|Bacteria|Cyanobacteria|Nostocales|Anabaena|,1
WP_015085735|Bacteria|Proteobacteria|Epsilonproteobacteria|Helicobacter|,1
WP_015084756|Bacteria|Firmicutes|Bacilli|Listeria|,1
WP_015071517|Bacteria|Actinobacteria|Actinobacteridae|Propionibacterium|,1
WP_015022497|Bacteria|Actinobacteria|Actinobacteridae|Bifidobacterium|,1
WP_015011659|Bacteria|Actinobacteria|Actinobacteridae|Propionibacterium|,1
WP_015010071|Bacteria|Firmicutes|Bacilli|Amphibacillus|,1
WP_014968287|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_014939983|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_014920365|Bacteria|Actinobacteria|Actinobacteridae|Arthrobacter|,1
WP_014918719|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_014896363|Bacteria|Proteobacteria|Betaproteobacteria|Burkholderia|,1
WP_014878561|Bacteria|Actinobacteria|Actinobacteridae|Mycobacterium|,1
WP_014854012|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_014848021|Bacteria|Actinobacteria|Actinobacteridae|Propionibacterium|,1
WP_014847712|Bacteria|Actinobacteria|Actinobacteridae|Propionibacterium|,1
WP_014766229|Bacteria|Proteobacteria|Alphaproteobacteria|Sinorhizobium|,1
WP_014761718|Bacteria|Proteobacteria|Alphaproteobacteria|Sinorhizobium|,1
WP_014642985|Bacteria|Firmicutes|Bacilli|Halobacillus|,1
WP_014633932|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_014626254|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillum|,1
WP_014598590|Bacteria|Actinobacteria|Actinobacteridae|Propionibacterium|,1
WP_014598405|Bacteria|Actinobacteria|Actinobacteridae|Propionibacterium|,1
WP_014568382|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_014548176|Bacteria|Proteobacteria|Gammaproteobacteria|Francisella|,1
WP_014547160|Bacteria|Fibrobacteres|Fibrobacterales|Fibrobacter|,1
WP_014521415|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_014414363|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillum|,1
WP_014414175|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillum|,1
WP_014412549|Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsia|,1
WP_014303875|Bacteria|Actinobacteria|Actinobacteridae|Corynebacterium|,1
WP_014115859|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_014082009|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_014046715|Bacteria|Actinobacteria|Actinobacteridae|Streptomyces|,1
WP_014009018|Bacteria|Actinobacteria|Actinobacteridae|Corynebacterium|,1
WP_013990092|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_013942026|Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcus|,1
WP_013935175|Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcus|,1
WP_013934867|Bacteria|Proteobacteria|Alphaproteobacteria|Zymomonas|,1
WP_013819010|Bacteria|Proteobacteria|Gammaproteobacteria|Methylomonas|,1
WP_013818732|Bacteria|Proteobacteria|Gammaproteobacteria|Methylomonas|,1
WP_013770480|Bacteria|Actinobacteria|Actinobacteridae|Cellulomonas|,1
WP_013770022|Bacteria|Actinobacteria|Actinobacteridae|Cellulomonas|,1
WP_013769723|Bacteria|Actinobacteria|Actinobacteridae|Cellulomonas|,1
WP_013727916|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_013725365|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_013724791|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_013700699|Bacteria|Spirochaetes|Spirochaetales|Treponema|,1
WP_013668924|Bacteria|Firmicutes|Bacilli|Aerococcus|,1
WP_013641975|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_013628456|Bacteria|Planctomycetes|Planctomycetia|Planctomyces|,1
WP_013626950|Bacteria|Planctomycetes|Planctomycetia|Planctomyces|,1
WP_013621526|Bacteria|Bacteroidetes|Flavobacteriia|Cellulophaga|,1
WP_013621525|Bacteria|Bacteroidetes|Flavobacteriia|Cellulophaga|,1
WP_013598066|Bacteria|Bacteroidetes|Flavobacteriia|Weeksella|,1
WP_013572003|Bacteria|Proteobacteria|Gammaproteobacteria|Vibrio|,1
WP_013565867|Bacteria|Planctomycetes|Planctomycetia|Isosphaera|,1
WP_013563980|Bacteria|Planctomycetes|Planctomycetia|Isosphaera|,1
WP_013502473|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodopseudomonas|,1
WP_013500093|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodopseudomonas|,1
WP_013496954|Bacteria|Firmicutes|Clostridia|Ruminococcus|,1
WP_013488003|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_013468955|Bacteria|Proteobacteria|Epsilonproteobacteria|Helicobacter|,1
WP_013454921|Bacteria|Bacteroidetes|Cytophagia|Marivirga|,1
WP_013452921|Bacteria|Bacteroidetes|Cytophagia|Marivirga|,1
WP_013449332|Bacteria|Proteobacteria|Betaproteobacteria|Neisseria|,1
WP_013438004|Bacteria|Firmicutes|Bacilli|Lactobacillus|,1
WP_013419670|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodomicrobium|,1
WP_013418357|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodomicrobium|,1
WP_013377660|Bacteria|Proteobacteria|Deltaproteobacteria|Stigmatella|,1
WP_013360867|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_013354237|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_013347472|Bacteria|Actinobacteria|Actinobacteridae|Arthrobacter|,1
WP_013308398|Bacteria|Firmicutes|Bacilli|Paenibacillus|,1
WP_013308093|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_013298395|Bacteria|Firmicutes|Clostridia|Thermoanaerobacterium|,1
WP_013296819|Bacteria|Firmicutes|Clostridia|Thermoanaerobacterium|,1
WP_013288994|Bacteria|Actinobacteria|Actinobacteridae|Micromonospora|,1
WP_013283651|Bacteria|Actinobacteria|Actinobacteridae|Micromonospora|,1
WP_013242650|Bacteria|Actinobacteria|Actinobacteridae|Corynebacterium|,1
WP_013237712|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_013234882|Bacteria|Proteobacteria|Betaproteobacteria|Herbaspirillum|,1
WP_013233200|Bacteria|Proteobacteria|Betaproteobacteria|Herbaspirillum|,1
WP_013211821|Bacteria|Proteobacteria|Betaproteobacteria|Ralstonia|,1
WP_013205449|Bacteria|Proteobacteria|Betaproteobacteria|Ralstonia|,1
WP_013191588|Bacteria|Cyanobacteria|Nostocales|Trichormus|,1
WP_013167627|Bacteria|Proteobacteria|Alphaproteobacteria|Starkeya|,1
WP_013162181|Bacteria|Actinobacteria|Actinobacteridae|Propionibacterium|,1
WP_013161874|Bacteria|Actinobacteria|Actinobacteridae|Propionibacterium|,1
WP_013117977|Bacteria|Actinobacteria|Actinobacteridae|Cellulomonas|,1
WP_013116745|Bacteria|Actinobacteria|Actinobacteridae|Cellulomonas|,1
WP_013115868|Bacteria|Actinobacteria|Actinobacteridae|Cellulomonas|,1
WP_013108020|Bacteria|Proteobacteria|Gammaproteobacteria|Moraxella|,1
WP_013103949|Bacteria|Firmicutes|Bacilli|Leuconostoc|,1
WP_013083332|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_013068185|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacter|,1
WP_013065626|Bacteria|Bacteroidetes|Bacteroidia|Prevotella|,1
WP_013057209|Bacteria|Firmicutes|Bacilli|Bacillus|,1
WP_013022965|Bacteria|Proteobacteria|Epsilonproteobacteria|Helicobacter|,1
WP_013012555|Bacteria|Deinococcus-Thermus|Deinococci|Meiothermus|,1
WP_012996042|Bacteria|Firmicutes|Clostridia|Thermoanaerobacter|,1
WP_012975242|Bacteria|Proteobacteria|Alphaproteobacteria|Azospirillum|,1
WP_012973635|Bacteria|Proteobacteria|Alphaproteobacteria|Azospirillum|,1
WP_012972078|Bacteria|Proteobacteria|Gammaproteobacteria|Allochromatium|,1
WP_012969564|Bacteria|Proteobacteria|Gammaproteobacteria|Allochromatium|,1
WP_012968118|Bacteria|Proteobacteria|Gammaproteobacteria|Klebsiella|,1
WP_012947940|Bacteria|Actinobacteria|Actinobacteridae|Geodermatophilus|,1
WP_012946832|Bacteria|Actinobacteria|Actinobacteridae|Geodermatophilus|,1
WP_012946823|Bacteria|Actinobacteria|Actinobacteridae|Geodermatophilus|,1
WP_012937989|Bacteria|Firmicutes|Negativicutes|Acidaminococcus|,1
WP_012926964|Bacteria|Bacteroidetes|Cytophagia|Spirosoma|,1
WP_012925361|Bacteria|Bacteroidetes|Cytophagia|Spirosoma|,1
WP_012910950|Bacteria|Planctomycetes|Planctomycetia|Pirellula|,1
WP_012909838|Bacteria|Planctomycetes|Planctomycetia|Pirellula|,1
WP_012898373|Bacteria|Firmicutes|Bacilli|Lactococcus|,1
WP_012897318|Bacteria|Firmicutes|Bacilli|Lactococcus|,1
WP_012880463|Bacteria|Proteobacteria|Alphaproteobacteria|Anaplasma|,1
WP_012861396|Bacteria|Fusobacteria|Fusobacteriales|Sebaldella|,1
WP_012824142|Bacteria|Proteobacteria|Gammaproteobacteria|Halothiobacillus|,1
WP_012820021|Bacteria|Fibrobacteres|Fibrobacterales|Fibrobacter|,1
WP_012808385|Bacteria|Actinobacteria|Coriobacteridae|Atopobium|,1
WP_012805356|Bacteria|Proteobacteria|Deltaproteobacteria|Desulfomicrobium|,1
WP_012781166|Bacteria|Bacteroidetes|Sphingobacteriia|Pedobacter|,1
WP_012762538|Bacteria|Proteobacteria|Betaproteobacteria|Ralstonia|,1
WP_012759330|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
WP_012756898|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
WP_012723165|Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonas|,1
WP_012709683|Bacteria|Proteobacteria|Alphaproteobacteria|Sinorhizobium|,1
WP_012707541|Bacteria|Proteobacteria|Alphaproteobacteria|Sinorhizobium|,1
WP_012680041|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_012661359|Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacter|,1
WP_012657953|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_012642096|Bacteria|Chloroflexi|Thermomicrobiales|Thermomicrobium|,1
WP_012624600|Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrio|,1
WP_012611569|Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrio|,1
WP_012570228|Bacteria|Proteobacteria|Gammaproteobacteria|Coxiella|,1
WP_012560469|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_012548610|Bacteria|Dictyoglomi|Dictyoglomales|Dictyoglomus|,1
WP_012534659|Bacteria|Proteobacteria|Gammaproteobacteria|Aliivibrio|,1
WP_012505933|Bacteria|Chlorobi|Chlorobia|Prosthecochloris|,1
WP_012505483|Bacteria|Chlorobi|Chlorobia|Prosthecochloris|,1
WP_012496152|Bacteria|Proteobacteria|Alphaproteobacteria|Rhodopseudomonas|,1
WP_012485505|Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobium|,1
WP_012474609|Bacteria|Chlorobi|Chlorobia|Chlorobium|,1
WP_012474526|Bacteria|Chlorobi|Chlorobia|Chlorobium|,1
WP_012466119|Bacteria|Chlorobi|Chlorobia|Chlorobium|,1
WP_012466118|Bacteria|Chlorobi|Chlorobia|Chlorobium|,1
WP_012465752|Bacteria|Chlorobi|Chlorobia|Chlorobium|,1
WP_012451803|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_012449440|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_012437453|Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonas|,1
WP_012429498|Bacteria|Proteobacteria|Gammaproteobacteria|Francisella|,1
WP_012425260|Bacteria|Firmicutes|Clostridia|Clostridium|,1
WP_012417957|Bacteria|Proteobacteria|Betaproteobacteria|Bordetella|,1
WP_012390364|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_012388304|Bacteria|Spirochaetes|Spirochaetales|Leptospira|,1
WP_012383593|Bacteria|Proteobacteria|Alphaproteobacteria|Beijerinckia|,1
WP_012383223|Bacteria|Proteobacteria|Alphaproteobacteria|Beijerinckia|,1
WP_012341299|Bacteria|Proteobacteria|Gammaproteobacteria|Histophilus|,1
WP_012332509|Bacteria|Proteobacteria|Alphaproteobacteria|Methylobacterium|,1
WP_012295824|Bacteria|Firmicutes|Bacilli|Lysinibacillus|,1
WP_012269497|Bacteria|Firmicutes|Clostridia|Thermoanaerobacter|,1
WP_012268783|Bacteria|Firmicutes|Clostridia|Thermoanaerobacter|,1
WP_012259161|Bacteria|Chloroflexi|Chloroflexales|Chloroflexus|,1
WP_012257190|Bacteria|Chloroflexi|Chloroflexales|Chloroflexus|,1
WP_012254400|Bacteria|Proteobacteria|Alphaproteobacteria|Methylobacterium|,1
WP_012246582|Bacteria|Actinobacteria|Actinobacteridae|Renibacterium|,1
WP_012241655|Bacteria|Proteobacteria|Deltaproteobacteria|Sorangium|,1
WP_012238277|Bacteria|Proteobacteria|Deltaproteobacteria|Sorangium|,1
WP_012235620|Bacteria|Proteobacteria|Deltaproteobacteria|Sorangium|,1
WP_012233568|Bacteria|Proteobacteria|Deltaproteobacteria|Sorangium|,1
WP_012195066|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_012195048|Bacteria|Cyanobacteria|Prochlorales|Prochlorococcus|,1
WP_012149812|Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsia|,1
WP_012140089|Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacter|,1
WP_012130706|Bacteria|Firmicutes|Bacilli|Streptococcus|,1
WP_012116165|Bacteria|Proteobacteria|Alphaproteobacteria|Xanthobacter|,1
